Unnamed: 0,Author,Comment,PublishedAt,IsReply,label,my_bully,label_bully_reasoning,label_bully,,
1012,@allcatall3931,"it equals their giving up their home land. just, as been israel's agenda, since 40's. yet they expect no 'noticeable' resistance, while trying to carry out the inherently 'unacceptable'. its supporters act like they're just 'squatter' in someone's building, in which case, the insistence on getting them out, would've made 'sense'..",2025-04-16T00:17:11Z,TRUE,negative,不會,不會,不會,,
958,@psytrancedj,Rachel Zegler: I don't need your business.  Everyone: Your terms are acceptable.,2024-12-04T02:48:35Z,FALSE,negative,不會,不會,會,,
139,@hardcoreromeo2111,Burn it before it breeds,2023-05-28T22:41:59Z,TRUE,negative,會,會,會,,
572,@minerliton2481,they need to turn off her mic ❤️,2024-05-20T13:31:05Z,TRUE,negative,會,不會,會,,相同
1416,@socalzombies,So the Met Gala is a Halloween costume party for the rich,2025-05-06T23:46:29Z,FALSE,negative,不會,不會,不會,,
432,@byeandrea,the fact that they disbanded THE gfriend for this lmfaoooooo hybe you will always be a joke,2024-10-26T15:00:10Z,FALSE,negative,會,不會,會,,相同
1193,@CartierRaquirzMarionel,"and she ruined timeless, fuck he did dirty to my goat. DOECHII IS SO BUNS 🥀🪫",2025-05-10T15:28:56Z,TRUE,negative,會,不會,會,,相同
923,@kumarvansh-j6c,Goddamn i see why americans are dumb,2025-05-10T22:23:54Z,TRUE,negative,會,會,會,,
1686,@impunitythebagpuss,"That meeting with Vance was what pushed him over the edge, I've no doubt. 😢",2025-04-21T13:03:23Z,FALSE,negative,不會,不會,不會,,
268,@SonHNguyen-qz5dg,@@Hyýtrftdrrui Why are people entitle to our money?,2024-11-24T16:53:10Z,TRUE,negative,不會,不會,不會,,
201,@anutrof,"Watching the second act was infuriating. Here we have a contestant putting an amazing amount of performance and character together, and every judge except Amanda kept on cracking jokes because they couldn't bear not being the centre of attention for a few minutes. Have some damn respect",2023-03-18T12:34:42Z,FALSE,negative,不會,不會,不會,,
1074,@sicckkunt,that shit is not a reference its a rip off,2025-04-18T23:49:12Z,TRUE,negative,會,不會,不會,,不同
582,@DaMit123,This wasn’t as bad as people are making it out to be. Eunchae and Kazuha are still weak vocalists(I think Eunchae has some confidence issues) but Yunjin and Chaewon did fine imo(they had a few slip ups but they are HUMANS doing incredibly tiring choreography). I think people just want to hate tbh,2024-06-24T17:52:03Z,FALSE,negative,不會,不會,不會,,
1463,@Bluey.DanielCezar,But the notch is too old,2024-11-08T20:41:24Z,TRUE,negative,不會,不會,不會,,
1427,@Suzibird307,"@Adam-r9k4m UH...the theme this year was ""Superfine: Tailoring Black Style"". Educate yourself. Your ignorance is showing.",2025-05-07T09:29:06Z,TRUE,negative,會,不會,不會,,不同
453,@stuartcumings8026,The day people actually fell for it hook line and sinker you mean😷😀,2023-02-22T15:54:42Z,TRUE,negative,不會,不會,不會,,
996,@yuvrajg5305,"SHORT SUMMARY FROM A INDIAN SIDE                                                                                                                                                     There was a terrorist attack in Pahalgam in which 26 non-Muslims — including Hindus and at least one Christian — were reportedly killed for not being able to recite the Kalma. According to reports, the attackers used brutal methods such as checking for circumcision to identify non-Muslim men. Tragically, a local Muslim pony ride operator who attempted to protect the tourists was also killed by the terrorists, highlighting the indiscriminate and extremist nature of such violence. Osama bin Laden, the mastermind behind the 9/11 attacks, was found hiding in Abbottabad, Pakistan, near a military facility—raising serious concerns about official complicity. Pakistan has previously been placed on the Financial Action Task Force (FATF) ""grey list"" for failing to adequately combat terrorism financing. Ajmal Kasab, the lone surviving terrorist from the 2008 Mumbai attacks, confessed that he had been trained and funded by elements linked to Pakistan. Over the years, numerous terrorist attacks have shown evidence of cross-border involvement. In response, India conducted targeted counter-terrorism operations against terrorist infrastructure in Pakistan—not against civilian areas—aiming specifically at camps used by terror groups.  Shockingly, terrorists eliminated in these Indian airstrikes were later given a guard of honour at funerals attended by senior Pakistan Army officers and a UN-designated terrorist. Some of those figures were also linked to the brutal murder of journalist Daniel Pearl, further highlighting the deep-rooted connections between militant groups and state actors.  Following India’s precision strikes, Pakistan launched missile attacks on Indian territory. However, India successfully intercepted these attempts and swiftly retaliated. Unlike India, Pakistan was unable to intercept the Indian response, resulting in successful hits on its soil. Subsequently, Pakistan attempted to play the victim card on international platforms, despite initiating retaliation after housing and honouring known terrorists.",2025-05-10T11:56:32Z,FALSE,negative,不會,會,不會,,相同
577,@M_ary_amm,And this is the group that was meant to replace Blackpink and Twice?? Srsly what was HYBE thinking? This is literally the worst performance ive seen in my life and it was meant to surpass Pinkchella?!?!,2024-11-10T15:02:12Z,FALSE,negative,會,不會,會,,相同
813,@hi-fi5201,Pakistan - We won the war ... World - Proof  Pakistan - it's all over social media ... 😂😅😂,2025-05-11T15:36:23Z,FALSE,negative,不會,不會,不會,,
1245,@JungHwan1ee,"I'm Korean staying is US. This martial law from Yoon is procedurally invalid. It did not go through the State Council meeting, nor was it notified to the National Assembly, which should be done for following martial law. We have to keep our demacrocy. Please pray for us and support normal citizens in South Korea. Luckly, congress legally (50% over attending) reject martial law, which means effects were gone even though that martial law is invalid. Congress confirmed the invalidation of martial law again by their voting (100% agree to reject martial law)",2024-12-03T16:57:41Z,FALSE,negative,不會,不會,不會,,
1251,@shichangxu1250,This guy had a few too many drinks at night and suddenly thought: why don't we try martial law?,2024-12-05T03:17:27Z,FALSE,negative,不會,不會,不會,,
1040,@Adelaide_Cuthbert,"You say that, but it's been circulating TikTok for months. Dunno what your beef is, but I wonder why you took the trouble of looking it up and listening to it just to leave a hate comment.",2025-05-13T15:44:27Z,TRUE,negative,不會,不會,不會,,
576,@Minimi2193,Just as bad as I remember,2024-10-26T09:31:01Z,FALSE,negative,會,會,不會,,
1866,@deuitblinker4820,You probably just watch short stuff and wont even remember 3 months from now. You people jump to conclusions so fast its embarassing.,2025-04-09T18:36:50Z,TRUE,negative,不會,不會,會,,
1097,@Unusermas991_Official,Who tf asked,2025-04-18T18:25:46Z,TRUE,negative,會,不會,會,,相同
115,@quin4516,no way the police has to die to✊🏻✊🏼✊🏾✊🏿,2020-06-05T14:23:25Z,TRUE,negative,會,會,不會,,
413,@kentokun3647,woah im crying...😢,2025-04-17T07:11:47Z,TRUE,negative,不會,不會,不會,,
547,@lightingmcqueef4525,Maybe teach yourself on how to GET A JOB instead of hating these successful women,2024-09-08T08:21:18Z,TRUE,negative,不會,不會,會,,
1107,@Rebellious_K,​@@mrpopo860 a cent of an apology,2025-05-13T16:11:13Z,TRUE,negative,不會,不會,不會,,
117,@___Anakin.Skywalker,U cu nt.LOL   It was past that. It was Chauvin being cruel with his knee stabbed to the man's neck. The black man was begging but Chauvin wanted to be cruel,2024-12-13T11:45:03Z,TRUE,negative,不會,不會,不會,,
235,@NadaII,"Ironically, the witch has had less work done on her face than the judges.",2023-03-14T01:11:47Z,FALSE,negative,會,不會,會,,相同
1999,@faridahmarinchil,Haven't fully watch this but already crying my eyes out. Coz most the scenes portrayed her father make me so sad since I don't have one.,2025-04-11T02:16:23Z,FALSE,negative,不會,不會,不會,,
79,@PIE44-p3w,is fentanyl a new word for chocking someone with ur knee,2025-01-24T12:33:37Z,TRUE,negative,會,會,會,,
1280,@RandomUserfromFullerton-z3y,How incompetent do you have to be to not think things through to declare martial law and only to lift it within hours.,2024-12-04T01:27:00Z,FALSE,negative,不會,不會,會,,
398,@Robert-xy4xi,What a corrupt scam this is!,2024-11-24T09:41:36Z,FALSE,negative,不會,不會,不會,,
357,@TheSkye077,@@okaywhatjuleI think it’s disrespectful too,2023-08-06T21:42:19Z,TRUE,negative,不會,不會,不會,,
561,@tonnypedersen5915,"more like a short for ""Cover Op Virus Infections Daily""",2020-02-12T11:43:46Z,TRUE,negative,不會,不會,不會,,
1303,@hostonyoutube,@@digocr too much work rather just kms,2022-07-26T05:54:50Z,TRUE,negative,不會,不會,不會,,
